dataset,workload,index,avg_throughput_mops
Books,10% Insert,DynamicPGM,1.3435266666666668
Books,10% Insert,LIPP,23.75576666666667
Books,10% Insert,HybridPGMLIPP,1.4420000000000002
Books,10% Insert,HybridPGMLIPPAsync,21.448833333333337
Books,90% Insert,DynamicPGM,4.055739999999999
Books,90% Insert,LIPP,3.0841666666666665
Books,90% Insert,HybridPGMLIPP,2.13381
Books,90% Insert,HybridPGMLIPPAsync,5.5927533333333335
Facebook,10% Insert,DynamicPGM,1.1326966666666667
Facebook,10% Insert,LIPP,16.5606
Facebook,10% Insert,HybridPGMLIPP,1.3824533333333333
Facebook,10% Insert,HybridPGMLIPPAsync,16.6039
Facebook,90% Insert,DynamicPGM,3.6913400000000003
Facebook,90% Insert,LIPP,2.08203
Facebook,90% Insert,HybridPGMLIPP,1.8928366666666667
Facebook,90% Insert,HybridPGMLIPPAsync,5.245223333333333
OSMC,10% Insert,DynamicPGM,1.3717266666666668
OSMC,10% Insert,LIPP,14.722066666666665
OSMC,10% Insert,HybridPGMLIPP,1.4015799999999998
OSMC,10% Insert,HybridPGMLIPPAsync,13.054900000000002
OSMC,90% Insert,DynamicPGM,3.78366
OSMC,90% Insert,LIPP,1.8942033333333332
OSMC,90% Insert,HybridPGMLIPP,1.7973766666666666
OSMC,90% Insert,HybridPGMLIPPAsync,4.640113333333333
